id,annee,sexe,age,tranche_age,annee_naissance,categorie_socioprofessionnelle,region,niveau_etudes,origine,salaire_annuel_brut
24,2015,Homme,76,65+,1939,Retraités,Normandie,CAP ou BEP,DOM-TOM,33528
25,2015,Homme,27,25-34,1988,Cadres et professions intellectuelles supérieures,Provence-Alpes-Côte d'Azur,Bac+8 et plus (Doctorat),France métropolitaine,29455
26,2015,Femme,26,25-34,1989,"Artisans, commerçants, chefs d'entreprise",DOM-TOM,Brevet des collèges,Amérique et Océanie,22906
27,2015,Femme,36,35-44,1979,Employés,Occitanie,Sans diplôme,Afrique Subsaharienne,24402
28,2015,Femme,48,45-54,1967,"Artisans, commerçants, chefs d'entreprise",Auvergne-Rhône-Alpes,Bac+3 (Licence),DOM-TOM,25074
29,2015,Homme,81,65+,1934,Agriculteurs exploitants,Occitanie,Bac+3 (Licence),Afrique Subsaharienne,34171
30,2015,Femme,41,35-44,1974,Professions intermédiaires,Bourgogne-Franche-Comté,Bac+3 (Licence),France métropolitaine,25822
31,2015,Femme,57,55-65,1958,Retraités,Hauts-de-France,"Bac+2 (DUT, BTS)",Amérique et Océanie,31041
32,2015,Femme,51,45-54,1964,Professions intermédiaires,DOM-TOM,"Bac+2 (DUT, BTS)",Asie,31252
33,2015,Femme,54,45-54,1961,"Artisans, commerçants, chefs d'entreprise",Provence-Alpes-Côte d'Azur,"Bac+2 (DUT, BTS)",DOM-TOM,28376
34,2015,Femme,22,18-24,1993,Retraités,Provence-Alpes-Côte d'Azur,Baccalauréat,Afrique Subsaharienne,24820
35,2015,Femme,22,18-24,1993,Retraités,Pays de la Loire,Sans diplôme,Amérique et Océanie,22516
36,2015,Femme,19,18-24,1996,Sans activité professionnelle,Occitanie,"Bac+2 (DUT, BTS)",Europe,26186
37,2015,Femme,61,55-65,1954,Agriculteurs exploitants,Hauts-de-France,CAP ou BEP,France métropolitaine,31159
38,2015,Homme,36,35-44,1979,Cadres et professions intellectuelles supérieures,Normandie,Bac+5 (Master),Asie,37258
39,2015,Homme,72,65+,1943,Professions intermédiaires,Corse,Brevet des collèges,Europe,29614
40,2015,Homme,27,25-34,1988,Employés,Pays de la Loire,CAP ou BEP,Europe,30678
41,2015,Femme,73,65+,1942,Sans activité professionnelle,Corse,Baccalauréat,DOM-TOM,29638
42,2015,Homme,63,55-65,1952,Cadres et professions intellectuelles supérieures,DOM-TOM,Baccalauréat,Afrique Subsaharienne,28746
43,2015,Homme,25,25-34,1990,"Artisans, commerçants, chefs d'entreprise",Pays de la Loire,Bac+5 (Master),Afrique Subsaharienne,26119
44,2015,Homme,76,65+,1939,"Artisans, commerçants, chefs d'entreprise",Bourgogne-Franche-Comté,Brevet des collèges,Asie,33113
45,2015,Femme,68,65+,1947,Retraités,Grand Est,Bac+8 et plus (Doctorat),Afrique du Nord,25636
46,2015,Femme,66,65+,1949,Retraités,DOM-TOM,Baccalauréat,Asie,27013
47,2015,Femme,82,65+,1933,Employés,Auvergne-Rhône-Alpes,Bac+5 (Master),Afrique Subsaharienne,21635
48,2015,Homme,46,45-54,1969,Agriculteurs exploitants,Bretagne,"Bac+2 (DUT, BTS)",Asie,33529
49,2015,Femme,61,55-65,1954,Ouvriers,Provence-Alpes-Côte d'Azur,Brevet des collèges,Europe,22917
50,2015,Femme,51,45-54,1964,Agriculteurs exploitants,DOM-TOM,Bac+5 (Master),Europe,22007
51,2015,Femme,57,55-65,1958,Sans activité professionnelle,Normandie,Baccalauréat,Afrique du Nord,22226
52,2015,Homme,82,65+,1933,"Artisans, commerçants, chefs d'entreprise",Bretagne,CAP ou BEP,France métropolitaine,32971
53,2015,Femme,27,25-34,1988,Professions intermédiaires,Centre-Val de Loire,Sans diplôme,France métropolitaine,21909
54,2015,Femme,32,25-34,1983,"Artisans, commerçants, chefs d'entreprise",Occitanie,Bac+5 (Master),France métropolitaine,30013
55,2015,Femme,74,65+,1941,"Artisans, commerçants, chefs d'entreprise",Bretagne,Bac+8 et plus (Doctorat),Amérique et Océanie,31853
56,2015,Femme,31,25-34,1984,Retraités,Occitanie,Brevet des collèges,Europe,28523
57,2015,Femme,28,25-34,1987,Cadres et professions intellectuelles supérieures,Bretagne,Bac+8 et plus (Doctorat),Afrique du Nord,26512
58,2015,Homme,22,18-24,1993,"Artisans, commerçants, chefs d'entreprise",Bretagne,Bac+3 (Licence),Amérique et Océanie,26751
59,2015,Homme,21,18-24,1994,"Artisans, commerçants, chefs d'entreprise",Auvergne-Rhône-Alpes,"Bac+2 (DUT, BTS)",Asie,26025
60,2015,Femme,18,18-24,1997,Cadres et professions intellectuelles supérieures,Île-de-France,"Bac+2 (DUT, BTS)",Asie,29668
61,2015,Homme,50,45-54,1965,Sans activité professionnelle,Grand Est,Bac+3 (Licence),France métropolitaine,33500
62,2015,Homme,79,65+,1936,Cadres et professions intellectuelles supérieures,Bourgogne-Franche-Comté,"Bac+2 (DUT, BTS)",Asie,35403
63,2015,Homme,65,65+,1950,Cadres et professions intellectuelles supérieures,Grand Est,Bac+3 (Licence),France métropolitaine,33722
64,2015,Femme,34,25-34,1981,Professions intermédiaires,Corse,Brevet des collèges,Afrique du Nord,22235
65,2015,Femme,51,45-54,1964,Sans activité professionnelle,Corse,Bac+8 et plus (Doctorat),France métropolitaine,28415
66,2015,Homme,48,45-54,1967,Ouvriers,Grand Est,"Bac+2 (DUT, BTS)",Afrique Subsaharienne,38419
67,2015,Homme,49,45-54,1966,Retraités,Nouvelle-Aquitaine,CAP ou BEP,France métropolitaine,27579
68,2015,Homme,80,65+,1935,"Artisans, commerçants, chefs d'entreprise",Bretagne,CAP ou BEP,Asie,36436
69,2015,Homme,42,35-44,1973,Ouvriers,Provence-Alpes-Côte d'Azur,Bac+3 (Licence),DOM-TOM,32516
70,2015,Homme,55,55-65,1960,Agriculteurs exploitants,Provence-Alpes-Côte d'Azur,Sans diplôme,Amérique et Océanie,31861
71,2015,Femme,77,65+,1938,Ouvriers,Corse,Bac+8 et plus (Doctorat),Asie,28592
72,2015,Femme,52,45-54,1963,"Artisans, commerçants, chefs d'entreprise",Normandie,Baccalauréat,Afrique du Nord,23839
73,2015,Homme,66,65+,1949,"Artisans, commerçants, chefs d'entreprise",Provence-Alpes-Côte d'Azur,Baccalauréat,Amérique et Océanie,29336
74,2015,Homme,30,25-34,1985,Retraités,Auvergne-Rhône-Alpes,Bac+3 (Licence),Europe,26274
75,2015,Femme,27,25-34,1988,Agriculteurs exploitants,Nouvelle-Aquitaine,Bac+5 (Master),Europe,31393
76,2015,Homme,55,55-65,1960,Retraités,Bretagne,Bac+8 et plus (Doctorat),Afrique Subsaharienne,31792
77,2015,Homme,34,25-34,1981,Ouvriers,DOM-TOM,Sans diplôme,Europe,30662
78,2015,Femme,49,45-54,1966,Agriculteurs exploitants,Bourgogne-Franche-Comté,Bac+5 (Master),DOM-TOM,26510
79,2015,Femme,36,35-44,1979,Retraités,Bourgogne-Franche-Comté,Sans diplôme,Asie,24043
80,2015,Homme,38,35-44,1977,Professions intermédiaires,Corse,Sans diplôme,Europe,37259
81,2015,Femme,27,25-34,1988,"Artisans, commerçants, chefs d'entreprise",Bretagne,Bac+8 et plus (Doctorat),Afrique Subsaharienne,25915
82,2015,Homme,18,18-24,1997,Cadres et professions intellectuelles supérieures,Pays de la Loire,Bac+5 (Master),Amérique et Océanie,31782
83,2015,Femme,35,35-44,1980,Professions intermédiaires,Grand Est,CAP ou BEP,DOM-TOM,30024
84,2015,Homme,41,35-44,1974,Cadres et professions intellectuelles supérieures,Normandie,Bac+3 (Licence),Asie,38338
85,2015,Femme,47,45-54,1968,Ouvriers,Nouvelle-Aquitaine,Baccalauréat,Europe,25496
86,2015,Homme,59,55-65,1956,Sans activité professionnelle,Normandie,Baccalauréat,Afrique Subsaharienne,35719
87,2015,Femme,52,45-54,1963,"Artisans, commerçants, chefs d'entreprise",Centre-Val de Loire,Baccalauréat,Afrique du Nord,29276
88,2015,Homme,82,65+,1933,Agriculteurs exploitants,Centre-Val de Loire,Sans diplôme,Asie,30890
89,2015,Femme,24,18-24,1991,Professions intermédiaires,Normandie,Bac+5 (Master),Asie,23350
90,2015,Homme,55,55-65,1960,Sans activité professionnelle,Bretagne,Bac+3 (Licence),Europe,32866
91,2015,Homme,42,35-44,1973,Employés,Provence-Alpes-Côte d'Azur,Bac+3 (Licence),DOM-TOM,38161
92,2015,Homme,33,25-34,1982,Professions intermédiaires,Auvergne-Rhône-Alpes,Bac+3 (Licence),Afrique Subsaharienne,36000
93,2015,Homme,64,55-65,1951,Agriculteurs exploitants,Normandie,Bac+8 et plus (Doctorat),Asie,29372
94,2015,Femme,20,18-24,1995,Employés,Normandie,Bac+3 (Licence),Europe,30309
95,2015,Homme,74,65+,1941,Cadres et professions intellectuelles supérieures,Auvergne-Rhône-Alpes,"Bac+2 (DUT, BTS)",France métropolitaine,34060
96,2015,Homme,64,55-65,1951,Ouvriers,Occitanie,Bac+3 (Licence),Amérique et Océanie,27892
97,2015,Homme,58,55-65,1957,Cadres et professions intellectuelles supérieures,Nouvelle-Aquitaine,CAP ou BEP,Asie,29662
98,2015,Homme,55,55-65,1960,Sans activité professionnelle,Auvergne-Rhône-Alpes,Sans diplôme,Europe,28577
99,2015,Homme,21,18-24,1994,Professions intermédiaires,Nouvelle-Aquitaine,Sans diplôme,Afrique du Nord,35988
100,2015,Femme,59,55-65,1956,Cadres et professions intellectuelles supérieures,Hauts-de-France,"Bac+2 (DUT, BTS)",Afrique Subsaharienne,27080
101,2015,Homme,64,55-65,1951,Retraités,Île-de-France,Brevet des collèges,Afrique du Nord,28249
102,2015,Femme,60,55-65,1955,"Artisans, commerçants, chefs d'entreprise",Normandie,CAP ou BEP,DOM-TOM,25939
103,2015,Femme,40,35-44,1975,Employés,Centre-Val de Loire,Bac+8 et plus (Doctorat),DOM-TOM,30188
104,2015,Femme,77,65+,1938,Ouvriers,Centre-Val de Loire,Bac+3 (Licence),Afrique du Nord,29635
105,2015,Femme,57,55-65,1958,Agriculteurs exploitants,Provence-Alpes-Côte d'Azur,Baccalauréat,France métropolitaine,25958
106,2015,Femme,38,35-44,1977,Sans activité professionnelle,Centre-Val de Loire,Baccalauréat,Amérique et Océanie,22343
107,2015,Femme,39,35-44,1976,Sans activité professionnelle,DOM-TOM,Bac+3 (Licence),DOM-TOM,31199
108,2015,Femme,18,18-24,1997,"Artisans, commerçants, chefs d'entreprise",Île-de-France,Bac+5 (Master),Afrique du Nord,22770
109,2015,Femme,49,45-54,1966,Employés,Pays de la Loire,"Bac+2 (DUT, BTS)",Europe,29505
110,2015,Femme,72,65+,1943,Cadres et professions intellectuelles supérieures,Grand Est,Brevet des collèges,Amérique et Océanie,26896
111,2015,Femme,69,65+,1946,Retraités,DOM-TOM,Bac+3 (Licence),Amérique et Océanie,31808
112,2015,Femme,50,45-54,1965,Retraités,Provence-Alpes-Côte d'Azur,"Bac+2 (DUT, BTS)",DOM-TOM,24260
113,2015,Homme,26,25-34,1989,"Artisans, commerçants, chefs d'entreprise",Occitanie,"Bac+2 (DUT, BTS)",Afrique du Nord,35346
114,2015,Homme,26,25-34,1989,Professions intermédiaires,Provence-Alpes-Côte d'Azur,Bac+3 (Licence),Amérique et Océanie,37770
115,2015,Femme,18,18-24,1997,Agriculteurs exploitants,Corse,Bac+8 et plus (Doctorat),France métropolitaine,25041
116,2015,Femme,67,65+,1948,Agriculteurs exploitants,Auvergne-Rhône-Alpes,Sans diplôme,Amérique et Océanie,29763
117,2015,Homme,51,45-54,1964,Sans activité professionnelle,Normandie,Baccalauréat,Europe,37559
118,2015,Homme,62,55-65,1953,Employés,Auvergne-Rhône-Alpes,Baccalauréat,Afrique Subsaharienne,30311
119,2015,Femme,82,65+,1933,"Artisans, commerçants, chefs d'entreprise",Occitanie,Sans diplôme,DOM-TOM,26181
120,2015,Femme,46,45-54,1969,Employés,Occitanie,Bac+3 (Licence),Afrique du Nord,26979
121,2015,Femme,35,35-44,1980,Retraités,Normandie,CAP ou BEP,Amérique et Océanie,30529
122,2015,Homme,39,35-44,1976,"Artisans, commerçants, chefs d'entreprise",Centre-Val de Loire,Bac+8 et plus (Doctorat),Afrique du Nord,29861
123,2015,Femme,79,65+,1936,Ouvriers,Hauts-de-France,"Bac+2 (DUT, BTS)",Afrique du Nord,22245
124,2015,Femme,42,35-44,1973,Employés,Provence-Alpes-Côte d'Azur,Bac+8 et plus (Doctorat),Europe,22565
125,2015,Femme,51,45-54,1964,Employés,Île-de-France,Bac+3 (Licence),Europe,27742
126,2015,Homme,71,65+,1944,Sans activité professionnelle,Provence-Alpes-Côte d'Azur,Sans diplôme,Afrique Subsaharienne,36868
127,2015,Femme,26,25-34,1989,"Artisans, commerçants, chefs d'entreprise",Bourgogne-Franche-Comté,Bac+8 et plus (Doctorat),Asie,24900
128,2015,Homme,47,45-54,1968,Employés,Provence-Alpes-Côte d'Azur,Sans diplôme,Afrique Subsaharienne,34205
129,2015,Femme,45,45-54,1970,Professions intermédiaires,DOM-TOM,CAP ou BEP,Afrique du Nord,28206
130,2015,Femme,66,65+,1949,"Artisans, commerçants, chefs d'entreprise",Grand Est,Brevet des collèges,DOM-TOM,29686
131,2015,Femme,30,25-34,1985,Employés,Hauts-de-France,Sans diplôme,Asie,31087
132,2015,Homme,59,55-65,1956,Retraités,Occitanie,Brevet des collèges,Afrique Subsaharienne,35614
133,2015,Femme,66,65+,1949,Sans activité professionnelle,Grand Est,Brevet des collèges,Asie,22331
134,2015,Homme,73,65+,1942,Professions intermédiaires,Grand Est,"Bac+2 (DUT, BTS)",Afrique Subsaharienne,37807
135,2015,Homme,41,35-44,1974,Employés,Grand Est,Sans diplôme,Amérique et Océanie,36415
136,2015,Femme,80,65+,1935,Ouvriers,Bourgogne-Franche-Comté,Bac+3 (Licence),Europe,28766
137,2015,Femme,80,65+,1935,Employés,DOM-TOM,Sans diplôme,France métropolitaine,28566
138,2015,Femme,81,65+,1934,"Artisans, commerçants, chefs d'entreprise",DOM-TOM,CAP ou BEP,Afrique Subsaharienne,24152
139,2015,Femme,78,65+,1937,"Artisans, commerçants, chefs d'entreprise",Bretagne,Bac+8 et plus (Doctorat),Europe,29757
140,2015,Femme,57,55-65,1958,"Artisans, commerçants, chefs d'entreprise",Corse,Bac+5 (Master),Europe,21574
141,2015,Femme,54,45-54,1961,Cadres et professions intellectuelles supérieures,Pays de la Loire,CAP ou BEP,Asie,22076
142,2015,Homme,52,45-54,1963,"Artisans, commerçants, chefs d'entreprise",Normandie,Bac+3 (Licence),Amérique et Océanie,31078
143,2015,Femme,24,18-24,1991,Agriculteurs exploitants,Provence-Alpes-Côte d'Azur,Brevet des collèges,France métropolitaine,26894
144,2015,Homme,78,65+,1937,Retraités,Hauts-de-France,Bac+8 et plus (Doctorat),Amérique et Océanie,25865
145,2015,Homme,54,45-54,1961,Professions intermédiaires,Bretagne,Brevet des collèges,Afrique du Nord,26115
146,2015,Femme,63,55-65,1952,Cadres et professions intellectuelles supérieures,Occitanie,Bac+5 (Master),Afrique du Nord,26019
147,2015,Femme,54,45-54,1961,Cadres et professions intellectuelles supérieures,Auvergne-Rhône-Alpes,Sans diplôme,Amérique et Océanie,30720
148,2015,Femme,48,45-54,1967,Employés,Corse,Bac+3 (Licence),Europe,22422
149,2015,Femme,25,25-34,1990,Ouvriers,Provence-Alpes-Côte d'Azur,Baccalauréat,DOM-TOM,29510
150,2015,Femme,73,65+,1942,"Artisans, commerçants, chefs d'entreprise",Occitanie,Bac+8 et plus (Doctorat),Afrique Subsaharienne,28338
151,2015,Femme,40,35-44,1975,Professions intermédiaires,Auvergne-Rhône-Alpes,Bac+3 (Licence),Afrique du Nord,23309
152,2015,Femme,31,25-34,1984,"Artisans, commerçants, chefs d'entreprise",Nouvelle-Aquitaine,Sans diplôme,Afrique du Nord,23548
153,2015,Homme,49,45-54,1966,Sans activité professionnelle,DOM-TOM,CAP ou BEP,Europe,35348
154,2015,Homme,51,45-54,1964,Cadres et professions intellectuelles supérieures,Occitanie,CAP ou BEP,Afrique du Nord,26388
155,2015,Femme,39,35-44,1976,Sans activité professionnelle,Île-de-France,Bac+8 et plus (Doctorat),DOM-TOM,23781
156,2015,Femme,59,55-65,1956,Ouvriers,Auvergne-Rhône-Alpes,CAP ou BEP,Afrique du Nord,22530
157,2015,Homme,76,65+,1939,Agriculteurs exploitants,Bretagne,Bac+3 (Licence),Europe,26918
158,2015,Homme,74,65+,1941,"Artisans, commerçants, chefs d'entreprise",Bourgogne-Franche-Comté,Sans diplôme,France métropolitaine,37292
159,2015,Homme,31,25-34,1984,Professions intermédiaires,Bretagne,Bac+8 et plus (Doctorat),Amérique et Océanie,36877
160,2015,Homme,77,65+,1938,Ouvriers,Bretagne,Sans diplôme,Asie,37129
161,2015,Femme,60,55-65,1955,Retraités,Centre-Val de Loire,Baccalauréat,Amérique et Océanie,22863
162,2015,Femme,81,65+,1934,Retraités,Bretagne,Brevet des collèges,Amérique et Océanie,28097
163,2015,Femme,58,55-65,1957,"Artisans, commerçants, chefs d'entreprise",Normandie,Bac+3 (Licence),DOM-TOM,25710
164,2015,Homme,40,35-44,1975,Agriculteurs exploitants,Pays de la Loire,Baccalauréat,Asie,28373
165,2015,Femme,27,25-34,1988,Sans activité professionnelle,Auvergne-Rhône-Alpes,Sans diplôme,DOM-TOM,24314
166,2015,Femme,51,45-54,1964,Cadres et professions intellectuelles supérieures,Pays de la Loire,Sans diplôme,Europe,30292
167,2015,Homme,28,25-34,1987,Retraités,Normandie,Bac+5 (Master),Afrique Subsaharienne,35730
168,2015,Homme,31,25-34,1984,Ouvriers,Normandie,"Bac+2 (DUT, BTS)",Afrique du Nord,31293
169,2015,Homme,45,45-54,1970,"Artisans, commerçants, chefs d'entreprise",Hauts-de-France,Baccalauréat,Asie,33628
170,2015,Femme,81,65+,1934,Employés,Grand Est,Bac+8 et plus (Doctorat),Amérique et Océanie,28046
171,2015,Femme,47,45-54,1968,Retraités,Grand Est,CAP ou BEP,France métropolitaine,25761
172,2015,Homme,30,25-34,1985,Employés,Provence-Alpes-Côte d'Azur,Brevet des collèges,Afrique Subsaharienne,38221
173,2015,Homme,49,45-54,1966,Professions intermédiaires,Provence-Alpes-Côte d'Azur,"Bac+2 (DUT, BTS)",Amérique et Océanie,29509
174,2015,Homme,72,65+,1943,Retraités,Auvergne-Rhône-Alpes,Brevet des collèges,Europe,29176
175,2015,Homme,34,25-34,1981,Agriculteurs exploitants,Occitanie,Bac+8 et plus (Doctorat),France métropolitaine,33610
176,2015,Homme,82,65+,1933,Sans activité professionnelle,Normandie,Baccalauréat,Asie,33954
177,2015,Femme,69,65+,1946,"Artisans, commerçants, chefs d'entreprise",Centre-Val de Loire,Baccalauréat,Amérique et Océanie,24584
178,2015,Femme,67,65+,1948,Agriculteurs exploitants,DOM-TOM,"Bac+2 (DUT, BTS)",Afrique Subsaharienne,26754
179,2015,Homme,28,25-34,1987,Professions intermédiaires,Centre-Val de Loire,CAP ou BEP,Afrique Subsaharienne,37687
180,2015,Femme,39,35-44,1976,"Artisans, commerçants, chefs d'entreprise",Auvergne-Rhône-Alpes,Bac+5 (Master),France métropolitaine,31507
181,2015,Femme,80,65+,1935,Professions intermédiaires,Bourgogne-Franche-Comté,CAP ou BEP,Europe,26055
182,2015,Femme,30,25-34,1985,Cadres et professions intellectuelles supérieures,Pays de la Loire,CAP ou BEP,DOM-TOM,29558
183,2015,Homme,58,55-65,1957,"Artisans, commerçants, chefs d'entreprise",Bourgogne-Franche-Comté,Baccalauréat,Afrique du Nord,26876
184,2015,Homme,81,65+,1934,Professions intermédiaires,Nouvelle-Aquitaine,Brevet des collèges,France métropolitaine,33797
185,2015,Femme,71,65+,1944,Sans activité professionnelle,Nouvelle-Aquitaine,Baccalauréat,Afrique Subsaharienne,21407
186,2015,Homme,59,55-65,1956,Sans activité professionnelle,Corse,CAP ou BEP,Afrique du Nord,35755
187,2015,Homme,79,65+,1936,Agriculteurs exploitants,Corse,Bac+5 (Master),Afrique du Nord,26333
188,2015,Femme,50,45-54,1965,Professions intermédiaires,Nouvelle-Aquitaine,Bac+8 et plus (Doctorat),Afrique du Nord,25082
189,2015,Femme,29,25-34,1986,"Artisans, commerçants, chefs d'entreprise",Auvergne-Rhône-Alpes,"Bac+2 (DUT, BTS)",DOM-TOM,23443
190,2015,Homme,64,55-65,1951,Cadres et professions intellectuelles supérieures,Bourgogne-Franche-Comté,Baccalauréat,Afrique Subsaharienne,35126
191,2015,Femme,39,35-44,1976,Ouvriers,Occitanie,Brevet des collèges,Afrique du Nord,26026
192,2015,Homme,44,35-44,1971,Employés,DOM-TOM,Bac+3 (Licence),Europe,33549
193,2015,Homme,21,18-24,1994,Employés,Bourgogne-Franche-Comté,Brevet des collèges,Afrique du Nord,32219
194,2015,Femme,45,45-54,1970,Agriculteurs exploitants,Île-de-France,CAP ou BEP,Afrique Subsaharienne,21693
195,2015,Femme,79,65+,1936,Professions intermédiaires,Normandie,Sans diplôme,Asie,28034
196,2015,Femme,27,25-34,1988,Retraités,Provence-Alpes-Côte d'Azur,Brevet des collèges,Afrique du Nord,31225
197,2015,Homme,68,65+,1947,Ouvriers,Bretagne,Sans diplôme,Asie,26528
198,2015,Homme,28,25-34,1987,Sans activité professionnelle,Hauts-de-France,Bac+5 (Master),Amérique et Océanie,28475
199,2015,Femme,30,25-34,1985,Employés,DOM-TOM,Bac+3 (Licence),Afrique du Nord,25563
200,2015,Homme,47,45-54,1968,Professions intermédiaires,Occitanie,Baccalauréat,France métropolitaine,26572
201,2015,Homme,18,18-24,1997,Agriculteurs exploitants,Nouvelle-Aquitaine,Baccalauréat,Afrique Subsaharienne,30525
202,2015,Homme,65,65+,1950,Agriculteurs exploitants,Bretagne,Bac+5 (Master),France métropolitaine,25801
203,2015,Homme,26,25-34,1989,Retraités,Centre-Val de Loire,"Bac+2 (DUT, BTS)",Asie,26853
204,2015,Femme,26,25-34,1989,Retraités,Occitanie,Brevet des collèges,Afrique du Nord,26983
205,2015,Homme,83,65+,1932,Sans activité professionnelle,Auvergne-Rhône-Alpes,CAP ou BEP,Asie,26962
206,2015,Femme,35,35-44,1980,Employés,Corse,Brevet des collèges,Afrique du Nord,26726
207,2015,Femme,48,45-54,1967,"Artisans, commerçants, chefs d'entreprise",Hauts-de-France,"Bac+2 (DUT, BTS)",Afrique du Nord,25117
208,2015,Femme,37,35-44,1978,Professions intermédiaires,Bretagne,Brevet des collèges,France métropolitaine,28224
209,2015,Homme,31,25-34,1984,Agriculteurs exploitants,Corse,Brevet des collèges,Afrique du Nord,37392
210,2015,Homme,25,25-34,1990,"Artisans, commerçants, chefs d'entreprise",Provence-Alpes-Côte d'Azur,Bac+3 (Licence),France métropolitaine,32655
211,2015,Homme,62,55-65,1953,Retraités,Nouvelle-Aquitaine,CAP ou BEP,Amérique et Océanie,27519
212,2015,Femme,69,65+,1946,Retraités,Corse,Brevet des collèges,Europe,23228
213,2015,Femme,42,35-44,1973,Sans activité professionnelle,Corse,CAP ou BEP,Europe,29694
214,2015,Femme,46,45-54,1969,Agriculteurs exploitants,Normandie,Brevet des collèges,France métropolitaine,27757
215,2015,Homme,57,55-65,1958,Retraités,Bourgogne-Franche-Comté,"Bac+2 (DUT, BTS)",Europe,27872
216,2015,Femme,34,25-34,1981,Agriculteurs exploitants,Auvergne-Rhône-Alpes,Brevet des collèges,Amérique et Océanie,24622
217,2015,Femme,65,65+,1950,Agriculteurs exploitants,Provence-Alpes-Côte d'Azur,Brevet des collèges,Afrique du Nord,31133
218,2015,Femme,74,65+,1941,Retraités,Grand Est,Baccalauréat,Asie,23092
219,2015,Femme,27,25-34,1988,Agriculteurs exploitants,Occitanie,Bac+3 (Licence),Afrique Subsaharienne,24109
220,2015,Femme,64,55-65,1951,"Artisans, commerçants, chefs d'entreprise",Normandie,Bac+8 et plus (Doctorat),Amérique et Océanie,25490
221,2015,Femme,75,65+,1940,Sans activité professionnelle,Hauts-de-France,Baccalauréat,Afrique du Nord,24529
222,2015,Homme,40,35-44,1975,Agriculteurs exploitants,Hauts-de-France,Sans diplôme,Afrique du Nord,27967
223,2015,Femme,64,55-65,1951,Ouvriers,Bourgogne-Franche-Comté,Bac+5 (Master),Amérique et Océanie,29313
224,2015,Femme,66,65+,1949,"Artisans, commerçants, chefs d'entreprise",Île-de-France,Sans diplôme,Europe,24701
225,2015,Femme,45,45-54,1970,Professions intermédiaires,Île-de-France,Brevet des collèges,Afrique Subsaharienne,29198
226,2015,Femme,42,35-44,1973,Retraités,Bourgogne-Franche-Comté,CAP ou BEP,France métropolitaine,26605
227,2015,Femme,25,25-34,1990,Sans activité professionnelle,Nouvelle-Aquitaine,CAP ou BEP,Amérique et Océanie,26573
228,2015,Homme,40,35-44,1975,Agriculteurs exploitants,Grand Est,Bac+3 (Licence),France métropolitaine,29578
